Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Tuberculosis,Hypertension,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Malaria,Diabetes Mellitus,Hepatitis B,Anemia,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Epilepsy,Anemia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Urinary Tract Infection,Rheumatoid Arthritis,Hepatitis B,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Anemia,Hypertension,COVID-19,Urinary Tract Infection,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Epilepsy,Pneumonia,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Migraine,Anemia,Chickenpox,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Chickenpox,Pneumonia,Typhoid Fever,Urinary Tract Infection,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Malaria,Hypertension,Appendicitis,COVID-19,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Measles,Malaria,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Hepatitis B,Rheumatoid Arthritis,Chickenpox,Asthma,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hypertension,Tuberculosis,Malaria,Typhoid Fever,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Epilepsy,Hepatitis B,Urinary Tract Infection,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Asthma,Migraine,Diabetes Mellitus,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Anemia,Urinary Tract Infection,Rheumatoid Arthritis,COVID-19,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Diabetes Mellitus,Tuberculosis,Appendicitis,Hypothyroidism,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Anemia,COVID-19,Rheumatoid Arthritis,Typhoid Fever,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Chickenpox,Pneumonia,Malaria,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Anemia,Migraine,Dengue,Hypertension,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Hypertension,Asthma,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Hypothyroidism,Hepatitis B,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Pneumonia,Dengue,Migraine,Rheumatoid Arthritis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Urinary Tract Infection,COVID-19,Diabetes Mellitus,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",COVID-19,Urinary Tract Infection,Migraine,Tuberculosis,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Dengue,Hypertension,Diabetes Mellitus,Epilepsy,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Asthma,Diabetes Mellitus,Measles,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Asthma,Diabetes Mellitus,Appendicitis,Migraine,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Dengue,Diabetes Mellitus,Rheumatoid Arthritis,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Asthma,Chickenpox,Tuberculosis,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Appendicitis,Typhoid Fever,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Dengue,Rheumatoid Arthritis,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Epilepsy,Pneumonia,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Asthma,Migraine,Diabetes Mellitus,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Epilepsy,Malaria,COVID-19,Rheumatoid Arthritis,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypothyroidism,Diabetes Mellitus,Pneumonia,Peptic Ulcer,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Dengue,Tuberculosis,COVID-19,Asthma,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Dengue,Peptic Ulcer,COVID-19,Malaria,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Rheumatoid Arthritis,Peptic Ulcer,Hepatitis B,Malaria,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Asthma,Typhoid Fever,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,COVID-19,Epilepsy,Peptic Ulcer,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Tuberculosis,Asthma,Urinary Tract Infection,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Hepatitis B,Epilepsy,Peptic Ulcer,Malaria,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Measles,Asthma,Hypothyroidism,Anemia,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Anemia,Urinary Tract Infection,Peptic Ulcer,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Epilepsy,COVID-19,Measles,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Epilepsy,Migraine,Malaria,Rheumatoid Arthritis,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,COVID-19,Epilepsy,Peptic Ulcer,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Urinary Tract Infection,Peptic Ulcer,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Typhoid Fever,Dengue,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Measles,Hypothyroidism,Malaria,Typhoid Fever,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Peptic Ulcer,Hepatitis B,Dengue,Tuberculosis,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Tuberculosis,Diabetes Mellitus,Epilepsy,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Urinary Tract Infection,Anemia,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypertension,Appendicitis,Typhoid Fever,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Measles,Hypertension,Rheumatoid Arthritis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Rheumatoid Arthritis,Hepatitis B,COVID-19,Dengue,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Tuberculosis,Measles,Hepatitis B,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Measles,Malaria,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Tuberculosis,Measles,Hepatitis B,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Epilepsy,Appendicitis,Hypertension,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Epilepsy,Dengue,Pneumonia,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Dengue,Malaria,Rheumatoid Arthritis,Urinary Tract Infection,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Chickenpox,Asthma,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Migraine,Measles,Tuberculosis,COVID-19,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Peptic Ulcer,Hypertension,Migraine,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Hypertension,Tuberculosis,Urinary Tract Infection,Chickenpox,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Tuberculosis,Diabetes Mellitus,Hypothyroidism,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Chickenpox,Pneumonia,Measles,COVID-19,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",COVID-19,Rheumatoid Arthritis,Hypertension,Anemia,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Pneumonia,Hypertension,Epilepsy,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Tuberculosis,Pneumonia,Measles,COVID-19,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Asthma,Diabetes Mellitus,Measles,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Appendicitis,Hypertension,Chickenpox,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Malaria,Rheumatoid Arthritis,Tuberculosis,Urinary Tract Infection,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Urinary Tract Infection,Tuberculosis,Epilepsy,Typhoid Fever,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Hypothyroidism,Diabetes Mellitus,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Dengue,Malaria,Rheumatoid Arthritis,Urinary Tract Infection,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Migraine,Appendicitis,Hepatitis B,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,COVID-19,Pneumonia,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Malaria,Urinary Tract Infection,Dengue,Epilepsy,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Malaria,Chickenpox,Peptic Ulcer,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Pneumonia,Hypertension,Epilepsy,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Malaria,Appendicitis,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Hepatitis B,Asthma,Hypothyroidism,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Rheumatoid Arthritis,Hypertension,Typhoid Fever,Hepatitis B,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Hypertension,Typhoid Fever,Chickenpox,Diabetes Mellitus,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Measles,Chickenpox,Peptic Ulcer,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Chickenpox,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Hypertension,Hypothyroidism,Tuberculosis,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Peptic Ulcer,Anemia,Tuberculosis,Appendicitis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Anemia,Hypothyroidism,Urinary Tract Infection,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Hypertension,Diabetes Mellitus,Rheumatoid Arthritis,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Pneumonia,Hepatitis B,Appendicitis,Measles,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Urinary Tract Infection,Tuberculosis,Epilepsy,Typhoid Fever,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Hepatitis B,Typhoid Fever,Dengue,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Anemia,Rheumatoid Arthritis,Malaria,Measles,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Anemia,Urinary Tract Infection,Peptic Ulcer,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Tuberculosis,Asthma,Dengue,Hypothyroidism,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Rheumatoid Arthritis,Measles,Urinary Tract Infection,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Migraine,Anemia,Chickenpox,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,Hypothyroidism,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Dengue,Rheumatoid Arthritis,Diabetes Mellitus,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Moderate
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Epilepsy,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Chickenpox,Tuberculosis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Peptic Ulcer,Hepatitis B,Dengue,Tuberculosis,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Urinary Tract Infection,Appendicitis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",COVID-19,Pneumonia,Hypertension,Urinary Tract Infection,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Chickenpox,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Epilepsy,Migraine,Malaria,Rheumatoid Arthritis,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Easy
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Hepatitis B,Hypothyroidism,Chickenpox,Tuberculosis,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Moderate
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Tuberculosis,Pneumonia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Dengue,Asthma,Hepatitis B,Measles,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Hard
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Diabetes Mellitus,Pneumonia,Dengue,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Diabetes Mellitus,Asthma,Epilepsy,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Tuberculosis,Pneumonia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Chickenpox,Dengue,Measles,Asthma,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Chickenpox,Epilepsy,Tuberculosis,Hypertension,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
